卷	龹乛 jv
厌	厂犬 iq
厥	厂人 ir
又	乛乀 vn
友	𠂇又 uy
受	丿又 py
变	亠又 wy
叟	丿又 py
召	刀口 dk
史	丨乀 ln
右	𠂇口 uk
吉	士口 uk
吒	口七 kq
吝	文口 wk
含	人口 rk
启	户口 hk
吾	五口 wk
告	𠂒口 nk
周	冂口 kk
咒	口几 kj
哉	十口 uk
哌	口乀 kn
哞	口牛 kn
哭	口犬 kq
哱	口子 kz
唆	口夂 kw
唇	厂口 ik
唉	口矢 ku
售	亻口 rk
唵	口电 kd
啕	口缶 kf
啜	口又 ky
喇	口刂 kd
喋	口木 km
喾	𭕄口 xk
嗍	口月 ko
嗑	口皿 km
嗒	口口 kk
嗖	口又 ky
嗜	口日 ko
嗣	口口 kk
嗥	口十 ku
嗷	口攵 kw
嗽	口人 kr
嘀	口口 kk
嘹	口小 kx
噘	口人 kr
器	口口 kk
噬	口人 kr
噼	口十 ku
嚄	口又 ky
嚆	口口 kk
嚚	口口 kk
嚣	口口 kk
嚼	口寸 kc
四	囗儿 ke
圣	又土 yt
在	𠂇土 ut
块	土夬 tg
坰	土口 tk
垄	龙土 lt
垒	厶土 st
垦	艮土 gt
垲	土己 tj
埃	土矢 tu
埒	土寸 tc
埚	土内 tn
埠	土十 tu
埯	土电 td
培	土口 tk
埽	土巾 tj
堕	阝土 et
堙	土土 tt
堞	土木 tm
堲	<既左部>土 gt
堽	土正 tv
塑	丷土 bt
塔	土口 tk
塞	宀土 bt
墓	艹土 ct
壁	尸土 ut
夐	𠂊夂 dw
够	勹夕 bx
夫	一乀 an
夺	大寸 dc
奠	丷大 bd
女	乛一 va
妾	立女 ln
姜	𦍌女 yn
娄	米女 mn
娟	女月 no
娲	女内 nn
婴	冂女 kn
婺	龴女 sn
媾	女冉 nr
嫂	女又 ny
嫕	女心 nx
嫠	未女 wn
嫡	女口 nk
嫩	女攵 nw
嫽	女小 nx
嬖	尸女 un
嬴	亡凡 wf
子	乛一 va
存	𠂇子 uz
孚	丿子 pz
孛	十子 uz
孜	子攵 zw
孝	耂子 lz
孟	子皿 zm
学	𭕄子 xz
孪	亠子 wz
孱	尸子 uz
孽	艹子 cz
宅	宀七 bq
宏	宀厶 bs
宛	宀乛 bv
密	宀山 be
寇	宀又 by
富	宀田 bt
寨	宀朩 bm
寮	宀小 bx
对	又寸 yc
寺	土寸 tc
寻	彐寸 ec
导	巳寸 sc
尊	丷寸 bc
尔	𠂊小 dx
尝	⺌厶 xs
尧	一兀 aw
屣	尸人 ur
峃	𭕄山 xe
峦	亠山 we
峱	犭山 qe
峻	山夂 ew
崦	山电 ed
嶍	山白 eb
巇	山戈 eg
左	𠂇工 ug
巫	工人 gr
己	乛乛 vv
已	乛乛 vv
巳	乛乛 vv
巷	艹巳 cs
巽	巳八 sb
布	𠂇巾 uj
帚	彐巾 ej
帛	白巾 bj
带	<带上部>巾 fj
席	广巾 gj
幂	冖巾 bj
幅	巾田 jt
幕	艹巾 cj
年	丿丨 pl
床	广木 gm
庵	广电 gd
廒	广攵 gw
廿	艹一 ca
弃	亠廾 wc
式	弋工 yg
弑	乂工 xg
彀	士又 uy
彗	丰彐 fe
彟	彐又 ey
徙	彳人 ir
徼	彳攵 iw
忌	己心 jx
忒	弋心 yx
志	士心 ux
快	忄夬 xg
忱	忄乛 xv
思	田心 tx
怠	厶心 sx
急	𠂊心 dx
怨	夕心 xx
总	丷心 bx
恋	亠心 wx
恙	𦍌心 yx
息	自心 zx
恳	艮心 gx
恺	忄己 xj
悉	丿心 px
悒	忄巴 xb
悖	忄子 xz
悛	忄夂 xw
悠	亻心 rx
悯	忄文 xw
惙	忄又 xy
惹	艹心 cx
意	立心 lx
愠	忄皿 xm
慧	丰心 fx
憋	丶心 dx
憭	忄小 xx
憺	忄口 xk
懵	忄目 xo
懿	士心 ux
戆	立心 lx
戋	一丶 ad
戟	十戈 ug
